Method,threshold,params,ROC AUC,PR AUC,F1 score,Accuracy,Precision,Recall,TP,TN,FP,FN,Training time,Inference time
ArchiREF,0.5,,0.8765219049999999,0.8794885134347457,0.7907881269191402,0.7956,0.809853249475891,0.7726,7726,8186,1814,2274,339.8483469740022,9.503837177995592
ArchiREF [w. threshold],0.468,,0.8765219049999999,0.8794885134347457,0.7952507389409349,0.79565,0.7968075494428271,0.7937,7937,7976,2024,2063,339.8483469740022,8.022760058986023
Archi000,0.5,,0.5049754499999999,0.5035251947815965,0.5394557503407436,0.51005,0.5089119446661347,0.5739,5739,4462,5538,4261,6.366709733963944,0.8234833549940959
Archi000 [w. threshold],0.453,,0.5049754499999999,0.5035251947815965,0.5405633406758213,0.50985,0.5086883655287995,0.5767,5767,4430,5570,4233,6.366709733963944,0.7814191199140623
Archi100,0.5,,0.84691761,0.847525343951804,0.7702709470626534,0.77065,0.7715461021370523,0.769,7690,7723,2277,2310,105.57953013305087,4.18963011703454
Archi100 [w. threshold],0.556,,0.84691761,0.847525343951804,0.7556253270538985,0.7665,0.7925356750823271,0.722,7220,8110,1890,2780,105.57953013305087,3.9681564039783552
Archi200,0.5,,0.87435044,0.8773194309855479,0.7921868707209022,0.7936,0.7976480129764801,0.7868,7868,8004,1996,2132,219.16974106209818,6.57256574195344
Archi200 [w. threshold],0.487,,0.87435044,0.8773194309855479,0.7940134696931903,0.79355,0.7922349427575909,0.7958,7958,7913,2087,2042,219.16974106209818,7.033489663968794
Archi300,0.5,,0.8751346750000001,0.8784715392410033,0.7896048415806337,0.79315,0.8033736934699369,0.7763,7763,8100,1900,2237,219.33773886505514,5.728404475026764
Archi300 [w. threshold],0.522,,0.8751346750000001,0.8784715392410033,0.7852241655058556,0.79185,0.8110412448044335,0.761,7610,8227,1773,2390,219.33773886505514,6.568660747958347
Archi201,0.5,,0.8760238200000001,0.8788874161223506,0.7921991954783849,0.79595,0.8070339246809834,0.7779,7779,8140,1860,2221,685.3490750159835,10.584605195908807
Archi201 [w. threshold],0.486,,0.8760238200000001,0.8788874161223506,0.7945910489933902,0.79645,0.8019146552602098,0.7874,7874,8055,1945,2126,685.3490750159835,10.764227938954718
Archi202,0.5,,0.8756893700000001,0.8782290073181196,0.7925036136171062,0.79185,0.7900228560071549,0.795,7950,7887,2113,2050,399.28371767909266,11.390084085986018
Archi202 [w. threshold],0.5650000000000001,,0.8756893700000001,0.8782290073181196,0.7844827586206897,0.7925,0.8160112359550562,0.7553,7553,8297,1703,2447,399.28371767909266,11.567538535920903
