Method,threshold,params,ROC AUC,PR AUC,F1 score,Accuracy,Precision,Recall,TP,TN,FP,FN,Training time,Inference time
EmbedB1,0.5,,0.861687275,0.863312427821703,0.7862536600400678,0.79195,0.8083870286257526,0.7653,7653,8186,1814,2347,168.93005510699004,6.7898178700124845
EmbedB1 [w. threshold],0.488,,0.861687275,0.863312427821703,0.7878880718954249,0.7923,0.8049874791318865,0.7715,7715,8131,1869,2285,168.93005510699004,6.674048503977247
EmbedB2,0.5,,0.86791652,0.8701178299514398,0.7882729536100808,0.79165,0.8012602003925214,0.7757,7757,8076,1924,2243,219.93141615297645,8.449883742956445
EmbedB2 [w. threshold],0.515,,0.86791652,0.8701178299514398,0.7856849876948319,0.791,0.8061868686868687,0.7662,7662,8158,1842,2338,219.93141615297645,8.883482648059726
EmbedB3,0.5,,0.85322359,0.8544459936969506,0.7742578202829249,0.7734,0.7713378324732036,0.7772,7772,7696,2304,2228,415.3130356629845,8.654035561019555
EmbedB3 [w. threshold],0.517,,0.85322359,0.8544459936969506,0.7715571739240379,0.77415,0.7805177529929397,0.7628,7628,7855,2145,2372,415.3130356629845,9.189762338995934
EmbedB4,0.5,,0.85475461,0.855310750700317,0.7832127351664255,0.7753,0.7565703634669152,0.8118,8118,7388,2612,1882,459.13374242093414,8.510440866928548
EmbedB4 [w. threshold],0.562,,0.85475461,0.855310750700317,0.7736708860759494,0.7765,0.7835897435897435,0.764,7640,7890,2110,2360,459.13374242093414,9.72787334898021
EmbedB5,0.5,,0.83414537,0.8355991284555996,0.7593300029385837,0.7543,0.7440967556152812,0.7752,7752,7334,2666,2248,361.95127410499845,7.954673169995658
EmbedB5 [w. threshold],0.537,,0.83414537,0.8355991284555996,0.7484886969773941,0.75245,0.7606608156943727,0.7367,7367,7682,2318,2633,361.95127410499845,7.8243892510654405
