Method,threshold,params,ROC AUC,PR AUC,F1 score,Accuracy,Precision,Recall,TP,TN,FP,FN,Training time,Inference time
Test A00,,,0.5100017050000001,0.5059377696590686,0.33901296585432084,0.51315,0.5277953920946946,0.2497,2497,7766,2234,7503,7.679452731999845,0.6093954850002774
Test A03,,,0.8666334499999999,0.8663717317245244,0.793136904457948,0.79745,0.8103934049879996,0.7766,7766,8183,1817,2234,36.24158263500067,1.5811729300003208
Test B01,,,0.8683229,0.8669944057440755,0.7908134749250547,0.79415,0.803842578246049,0.7782,7782,8101,1899,2218,29.195286391999616,2.649221432999184
Test B02,,,0.8724959299999999,0.8739311640786122,0.7937637858431923,0.7943,0.7958383594692401,0.7917,7917,7969,2031,2083,49.22494958400057,3.653747628999554
Test B03,,,0.858001425,0.859933844775581,0.7727666513784845,0.77705,0.7879039800478022,0.7582,7582,7959,2041,2418,94.84037634499873,3.6136149300000397
Test B04,,,0.8580311550000002,0.8596479340147885,0.7772192620890721,0.7784,0.7813826561552456,0.7731,7731,7837,2163,2269,81.05402823500117,3.2922109519986407
Test B05,,,0.839388175,0.8404573250650513,0.7601975308641975,0.7572,0.7509268292682927,0.7697,7697,7447,2553,2303,49.12722758500058,3.1596629910000047
Test B06,,,0.8761132500000001,0.8782808763464256,0.7907707910750507,0.7937,0.8021604938271605,0.7797,7797,8077,1923,2203,71.764973456,3.2672035830000823
Test B07,,,0.880536545,0.881680564614046,0.7967487782985938,0.7962,0.794609110801671,0.7989,7989,7935,2065,2011,93.35918041199875,3.359108020000349
Test B08,,,0.861582615,0.8627013047336072,0.7873864346488487,0.77885,0.7581227436823105,0.819,8190,7387,2613,1810,156.31550525000057,4.027333664000253
Test B09,,,0.867537345,0.8681795226435262,0.788534021027574,0.7868,0.782172373081464,0.795,7950,7786,2214,2050,148.70750878099898,3.592005409000194
Test C00,,"[{'random_state': [0], 'max_iter': [3000], 'solver': ['lbfgs'], 'penalty': ['l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7fec7d5d5310>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['liblinear'], 'penalty': ['l1', 'l2'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7fec7d5f2b20>}, {'random_state': [0], 'max_iter': [3000], 'solver': ['saga'], 'penalty': ['elasticnet'], 'C': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7feca8484910>, 'l1_ratio': <scipy.stats._distn_infrastructure.rv_frozen object at 0x7fec7d5f2cd0>}]",0.8536067150000001,0.856885010082006,0.7728634185303515,0.7725,0.7716307814992025,0.7741,7741,7709,2291,2259,23.066506061000837,0.002943739000329515
